date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-07-08,85,90,97,91,90,56,99,79,34260,30180,4080,7740,16740,5700,38,88,900,17670,,2020-07-07T18:24:10-07:00,2020-07-08T03:55:10-07:00,69.39,62,27,0.12,14.5,88,71,78,78,100,100,100,672,2915,500,10749,11063,591,513,261,70,5,0,1.59375,2,71,85,63,83,70,95,46,79,87
2020-07-09,87,99,94,81,90,52,83,100,37620,33090,4530,6990,21030,5070,46,88,540,19290,,2020-07-08T19:05:59-07:00,2020-07-09T05:32:59-07:00,64.87,57,37,0.03,14.125,87,57,95,78,100,98,100,225,2426,500,4327,3393,698,527,163,20,0,32,1.34375,1,82,89,71,76,61,100,98,83,100
2020-07-10,90,100,100,82,98,51,91,100,39060,36210,2850,9840,21240,5130,46,93,690,19560,,2020-07-09T21:16:01-07:00,2020-07-10T08:07:01-07:00,63.13,55,36,0.12,13.75,84,66,100,60,100,97,100,256,2490,650,4935,3550,628,537,269,6,0,0,1.375,0,88,96,81,87,70,94,100,84,100
2020-07-11,69,61,76,67,74,57,83,93,27840,22680,5160,5700,12720,4260,38,81,540,14640,,2020-07-10T23:08:11-07:00,2020-07-11T06:52:11-07:00,67.43,56,28,0.04,14.375,80,68,100,43,96,95,100,330,2570,500,6822,5288,604,506,271,17,0,42,1.40625,0,72,50,75,91,76,100,89,78,44
2020-07-12,83,84,96,97,95,52,72,100,31860,28710,3150,7500,14010,7200,42,90,300,16140,,2020-07-11T22:09:23-07:00,2020-07-12T07:00:23-07:00,65.76,59,28,0.11,13.75,79,92,95,25,96,96,100,408,2506,500,3960,6680,416,839,118,61,1,5,1.34375,1,80,80,76,89,78,96,80,73,92
2020-07-13,90,100,100,96,90,54,78,100,42780,37680,5100,10320,20610,6750,42,88,420,21870,,2020-07-12T18:57:58-07:00,2020-07-13T06:50:58-07:00,63.35,54,37,0.16,14.375,80,72,95,43,96,98,100,795,2997,650,9143,12091,581,642,135,32,50,0,1.625,1,89,96,85,97,78,91,97,77,100
2020-07-14,85,100,100,95,74,49,62,100,44220,36000,8220,8910,21180,5910,45,81,1740,22350,,2020-07-13T19:43:31-07:00,2020-07-14T08:00:31-07:00,62.64,52,34,-0.1,14,79,68,95,43,96,98,98,250,2419,500,4118,3676,589,665,161,24,1,0,1.3125,1,80,85,92,38,68,100,84,77,94
2020-07-15,86,100,100,60,93,49,83,100,40320,35700,4620,10800,21150,3750,46,89,1260,20550,,2020-07-14T20:44:36-07:00,2020-07-15T07:56:36-07:00,63.52,55,33,0.01,14.5,71,55,95,25,71,97,100,287,2532,600,4704,3846,718,503,194,21,4,0,1.40625,1,87,87,97,93,74,100,94,77,72
2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,71,55,100,25,71,96,100,32,2074,600,659,586,48,238,13,4,0,1137,1.15625,0,,,,,,,,,
2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,77,100,100,25,71,89,100,5,2042,600,117,37,53,270,8,0,0,1109,1.15625,0,,,,,,,,,
2020-07-18,81,100,100,87,86,51,86,22,42000,36270,5730,11160,19680,5430,44,86,600,20520,,2020-07-17T23:33:01-07:00,2020-07-18T11:13:01-07:00,65.86,58,29,-0.24,14.375,70,98,78,25,71,63,100,308,2379,600,6100,5694,303,875,253,9,0,0,1.28125,2,87,76,100,0,80,97,85,73,100
2020-07-19,84,98,100,59,81,51,81,100,39180,32760,6420,9240,19800,3720,44,84,1290,21060,,2020-07-18T20:12:08-07:00,2020-07-19T07:05:08-07:00,67.57,58,27,0.02,14.75,82,95,100,43,71,97,100,980,3165,600,12684,16121,394,688,236,115,7,0,1.71875,0,86,83,100,100,81,100,77,67,86
2020-07-20,83,96,98,59,79,50,78,100,38520,31860,6660,8280,19860,3720,46,83,390,20400,,2020-07-19T19:09:53-07:00,2020-07-20T05:51:53-07:00,65.98,58,31,-0.31,14.5,64,41,78,25,40,96,100,218,2452,500,3969,3034,826,463,128,22,1,0,1.34375,2,82,80,100,76,62,94,77,67,94
2020-07-21,89,100,100,94,96,53,72,95,38100,34590,3510,9210,19530,5850,45,91,270,19080,,2020-07-20T21:50:07-07:00,2020-07-21T08:25:07-07:00,62.4,54,40,-0.23,14.125,68,58,100,25,40,96,100,212,2437,650,3582,2909,691,556,178,14,1,0,1.34375,0,90,94,100,80,70,97,100,75,96
2020-07-22,76,74,74,66,93,54,86,97,29520,26220,3300,5490,16530,4200,45,89,600,14730,,2020-07-21T22:58:24-07:00,2020-07-22T07:10:24-07:00,62.08,54,33,0.02,14.375,75,56,95,43,71,99,100,752,3000,500,10554,12016,713,477,157,79,14,0,1.65625,1,84,64,93,88,77,100,100,74,81
2020-07-23,83,90,90,95,88,53,94,71,34740,30240,4500,6720,17610,5910,46,87,990,17880,,2020-07-22T22:59:34-07:00,2020-07-23T08:38:34-07:00,63.11,57,34,-0.28,14.125,80,83,100,43,71,97,100,245,2464,500,4883,3415,494,546,284,4,0,112,1.34375,0,83,80,91,59,66,95,93,76,100
2020-07-24,66,58,65,74,97,50,72,73,24000,21960,2040,4860,12450,4650,48,92,270,11880,,2020-07-24T00:35:01-07:00,2020-07-24T07:15:01-07:00,60.32,54,44,-0.19,14,81,59,78,60,96,99,100,666,2904,500,9083,10590,686,524,140,83,7,0,1.59375,2,75,41,81,98,73,99,95,86,48
2020-07-25,90,100,100,98,98,64,86,72,39360,36480,2880,9450,19380,7650,34,93,600,20010,,2020-07-24T22:21:21-07:00,2020-07-25T09:17:21-07:00,65.23,56,33,-0.23,14.25,88,58,100,78,100,100,100,729,3001,600,10999,12047,694,493,153,93,7,0,1.65625,0,86,97,86,69,66,97,100,85,82
2020-07-26,69,67,53,86,97,59,75,51,26460,24210,2250,3960,14850,5400,44,91,360,13410,,2020-07-26T00:52:51-07:00,2020-07-26T08:13:51-07:00,65.21,57,35,0.11,14.25,89,71,100,78,100,100,98,767,3007,350,10921,13386,590,517,240,92,1,0,1.65625,0,69,48,79,67,59,96,75,86,57
2020-07-27,79,89,90,96,83,49,78,60,35100,29850,5250,6720,16740,6390,44,85,1350,17730,,2020-07-26T23:23:59-07:00,2020-07-27T09:08:59-07:00,67.54,60,34,-0.08,14.375,83,61,78,78,100,100,89,113,2274,500,1907,1507,652,695,88,5,0,0,1.25,2,75,71,78,76,51,100,66,86,92
2020-07-28,91,100,100,97,98,58,81,100,39960,37260,2700,9270,20550,7440,39,93,450,20190,,2020-07-27T21:16:13-07:00,2020-07-28T08:22:13-07:00,62.25,53,44,-0.03,14.875,88,61,95,78,100,98,100,221,2400,500,4474,3518,667,618,133,22,0,0,1.3125,1,84,99,84,95,64,100,90,89,51
2020-07-29,84,96,78,69,95,53,86,100,35520,31890,3630,5820,21720,4350,41,90,570,17940,,2020-07-28T21:52:00-07:00,2020-07-29T07:44:00-07:00,65.91,56,36,0.05,15.375,80,41,100,60,96,96,100,207,2482,600,3936,2623,829,442,154,15,0,0,1.375,0,85,82,86,90,69,100,83,89,94
2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,94,100,100,78,100,98,100,777,2928,500,10151,13429,255,338,98,113,7,629,1.625,0,,,,,,,,,
2020-07-31,70,80,93,53,88,55,83,22,31620,27660,3960,6870,17430,3360,42,87,540,16200,,2020-07-31T01:12:29-07:00,2020-07-31T09:59:29-07:00,63.29,56,36,-0.12,14.25,82,54,95,60,96,97,100,173,2404,500,3207,2077,719,538,178,5,0,0,1.3125,1,79,49,76,87,76,100,92,89,89
